condition,policy,rows,macro_f1,accuracy,tail_f1,benign_f1,calls,accepted,changed,H,D,net_correction
1,global,2271723,0.6837338628614459,0.8889913074789488,0.1035172731021793,0.911907455963402,0,0,0,0,0,0
2,fixed_region,2271723,0.6619780224859741,0.8677175870473645,0.0375627169834293,0.8912782989049073,2271723,2271723,191138,61216,109544,-48328
3,expert1_always,2271723,0.6696172410776259,0.8631699375319967,0.0612700718040904,0.8877915007780384,2271723,2271723,184785,59627,118286,-58659
3,expert2_always,2271723,0.6730214053002412,0.8571942970159654,0.0759572064193248,0.8855577072636958,2271723,2271723,191354,51492,123726,-72234
3,expert3_always,2271723,0.6218531557833307,0.8593503697413813,0.078914072236582,0.891229856650769,2271723,2271723,195982,43259,110595,-67336
3,expert4_always,2271723,0.6205270643498032,0.7856648896014171,0.0347486409452459,0.8250276286408221,2271723,2271723,345124,31838,266567,-234729
3,expert5_always,2271723,0.6726074247290939,0.8660241587552708,0.0343797676749289,0.890109200381102,2271723,2271723,186930,59438,111613,-52175
3,expert6_always,2271723,0.6703126080599949,0.8682304136551859,0.0788519314888302,0.8932089109122046,2271723,2271723,165141,53517,100680,-47163
3,expert7_always,2271723,0.6859405628577614,0.8110922854590986,0.0319253307234601,0.8343747458966503,2271723,2271723,311717,63801,240766,-176965
4,scorer_only,2271723,0.7549187832882801,0.8996290480837672,0.1034723293139638,0.9198550441041948,31227,31227,26278,25158,992,24166
5,scorer_verifier,2271723,0.7554902277714309,0.8997575848816075,0.1035033852936545,0.9199760466222988,31227,27667,25604,24975,517,24458
6,bank_oracle,2271723,0.7866937462287208,0.9205774647701326,0.11419154032525955,0.9353241872004889,2271723,75397,75397,71755,0,71755
0,fixed_call_bank_oracle,2271723,0.7571263390370742,0.9001079797140761,0.10352047960791178,0.9202329945439359,31227,25255,25255,25254,0,25254
