budget,scenario,rows,class,recall
c0,benign,3502926,benign,0.997233
c0,bot,41542,bot,0.99533
c0,brute_force_web,325,web_attacks,0.215385
c0,brute_force_xss,96,web_attacks,0.916667
c0,ddos_attack_hoic,206463,ddos,0.997065
c0,ddos_attack_loic_udp,690,ddos,1.0
c0,ddos_attacks_loic_http,57719,ddos,0.999983
c0,dos_attacks_goldeneye,12260,dos,1.0
c0,dos_attacks_hulk,20016,dos,0.998651
c0,dos_attacks_slowhttptest,21110,dos,0.0
c0,dos_attacks_slowloris,7208,dos,0.923418
c0,ftp_bruteforce,77344,brute_force,1.0
c0,infilteration,37631,infiltration,0.322341
c0,sql_injection,88,web_attacks,0.818182
c0,ssh_bruteforce,37696,brute_force,0.999469
