expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
brute_force,energy_finetuned,brute_force,brute_force,non_owned_known_attack,100000,79682,-4.869832992553711,0.9999999989960091,0.9999999992000002,0.0,0.99798,1.0
brute_force,energy_finetuned,brute_force,brute_force,unseen,100000,160594,-4.869832992553711,0.9555451246621915,0.8822621574132649,0.13144949375443665,0.99798,0.8685505062455633
brute_force,energy_finetuned,brute_force,brute_force,external_aux_validation,100000,56546,-4.869832992553711,1.0,1.0,0.0,0.99798,1.0
brute_force,energy_finetuned,brute_force,brute_force,benign_diagnostic,100000,100000,-4.869832992553711,0.9999999994000001,0.9999999993999942,0.0,0.99798,1.0
brute_force,energy_finetuned,brute_force,brute_force,pooled_attack_out,100000,240276,-4.869832992553711,0.9702875595981288,0.8822621568972888,0.08785729744127586,0.99798,0.9121427025587241
brute_force,energy_finetuned,brute_force,brute_force,unseen::ddos,100000,100000,-4.869832992553711,1.0000000000000002,1.0000000000000002,0.0,0.99798,1.0
brute_force,energy_finetuned,brute_force,brute_force,unseen::dos,100000,60594,-4.869832992553711,0.8821799806911576,0.8822621574132649,0.3483843284813678,0.99798,0.6516156715186322
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",non_owned_known_attack,79682,100000,-4.0939412117004395,0.996255554830451,0.9976199721457625,0.0,0.9710097638111493,1.0
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",unseen,79682,160594,-4.0939412117004395,0.8917363671530857,0.8660253010182262,0.4032529235214267,0.9710097638111493,0.5967470764785733
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",external_aux_validation,79682,52301,-4.0939412117004395,0.9966991682753653,0.9979346586051882,0.008508441521194624,0.9710097638111493,0.9914915584788053
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",benign_diagnostic,79682,100000,-4.0939412117004395,0.7815914901734393,0.8183942152593892,0.7362,0.9710097638111493,0.2638
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",pooled_attack_out,79682,260594,-4.0939412117004395,0.9318444232393215,0.8655177139044985,0.24850917519206123,0.9710097638111493,0.7514908248079388
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",unseen::ddos,79682,100000,-4.0939412117004395,0.8331641828141865,0.8683317652269398,0.62571,0.9710097638111493,0.37429
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",unseen::dos,79682,60594,-4.0939412117004395,0.9883997073169625,0.9921462452075488,0.03612568901211341,0.9710097638111493,0.9638743109878866
