method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,1765277,0.9998878362999122,0.9973707393267575,0.9938852708083434
realistic_oracle,seen_same_label,0,,,
realistic_oracle,seen_diff_label,3461,0.9991331984975441,0.5669387256089716,0.6561903597542672
realistic_oracle,unseen,1761816,0.9998893187483824,0.9977746453289272,0.9948277234025623
xgboost_c0,all,1765277,0.9808636265016765,0.804324374150058,0.5482289141688822
xgboost_c0,seen_same_label,0,,,
xgboost_c0,seen_diff_label,3461,0.22825772898006358,0.15216428472564975,0.29991691784527397
xgboost_c0,unseen,1761816,0.9823420833957689,0.7980633769681693,0.533342040664738
tabpfn_v3,all,1765277,0.9883599004575486,0.8062353029385018,0.5665789651148706
tabpfn_v3,seen_same_label,0,,,
tabpfn_v3,seen_diff_label,3461,0.20052008090147355,0.13769155240149175,0.2492703301127214
tabpfn_v3,unseen,1761816,0.9899075726409569,0.8063859462811608,0.5666443404692049
