arm,window,quota,model,split,seed,cls,support,predicted,tp,fp,fn,precision,recall,f1
early_natural,early,natural,xgboost_c0,val,42,backdoor,40676,40573,40572,1,104,0.9999753530673108,0.997443209755138,0.9987076764021712
early_natural,early,natural,xgboost_c0,val,42,benign,3358442,1519059,1239166,279893,2119276,0.8157458005251935,0.3689704928654417,0.5081151187872642
early_natural,early,natural,xgboost_c0,val,42,ddos,828251,2861809,827797,2034012,454,0.2892565506642826,0.9994518569853824,0.4486631653685848
early_natural,early,natural,xgboost_c0,val,42,dos,40691,41256,30970,10286,9721,0.7506786891603645,0.7611019635791698,0.7558543936934848
early_natural,early,natural,xgboost_c0,val,42,injection,76355,71385,61634,9751,14721,0.8634026756321356,0.8072031955995024,0.834357655340463
early_natural,early,natural,xgboost_c0,val,42,mitm,1202,416,350,66,852,0.8413461538461539,0.2911813643926789,0.4326328800988875
early_natural,early,natural,xgboost_c0,val,42,password,318955,319122,318167,955,788,0.997007414092416,0.9975294320515432,0.997268354759692
early_natural,early,natural,xgboost_c0,val,42,ransomware,794,772,670,102,124,0.8678756476683938,0.8438287153652393,0.855683269476373
early_natural,early,natural,xgboost_c0,val,42,scanning,271795,2758,2751,7,269044,0.9974619289340102,0.0101215989992457,0.0200398465869977
early_natural,early,natural,xgboost_c0,val,42,xss,566887,646898,563535,83363,3352,0.871134243729305,0.9940870049939404,0.928558187817447
early_natural,early,natural,xgboost_c0,test,42,backdoor,40678,41104,40570,534,108,0.987008563643441,0.997345002212498,0.992149861827786
early_natural,early,natural,xgboost_c0,test,42,benign,3358444,867690,587284,280406,2771160,0.6768361972593899,0.1748678852468583,0.2779296633755579
early_natural,early,natural,xgboost_c0,test,42,ddos,828252,3119204,824967,2294237,3285,0.2644799763016462,0.9960338157951928,0.4179740065500413
early_natural,early,natural,xgboost_c0,test,42,dos,40692,44230,30949,13281,9743,0.6997286909337553,0.7605671876535929,0.7288806198629331
early_natural,early,natural,xgboost_c0,test,42,injection,76356,86335,63744,22591,12612,0.7383332368101002,0.8348263397768348,0.7836204830015182
early_natural,early,natural,xgboost_c0,test,42,mitm,1204,4031,707,3324,497,0.1753907219052344,0.5872093023255814,0.2701050620821394
early_natural,early,natural,xgboost_c0,test,42,password,318956,478249,318034,160215,922,0.6649966858268391,0.9971093191537392,0.7978725672819413
early_natural,early,natural,xgboost_c0,test,42,ransomware,795,2554,643,1911,152,0.2517619420516836,0.8088050314465409,0.383995222454464
early_natural,early,natural,xgboost_c0,test,42,scanning,271796,651,396,255,271400,0.6082949308755761,0.0014569750842543,0.0029069874140658
early_natural,early,natural,xgboost_c0,test,42,xss,566887,860012,562651,297361,4236,0.6542362199597215,0.9925276113228916,0.7886346545901287
early_natural,early,natural,tabpfn,val,42,backdoor,40676,40622,40622,0,54,1.0,0.9986724358343988,0.9993357770178848
early_natural,early,natural,tabpfn,val,42,benign,3358442,1433532,1156573,276959,2201869,0.8067995691759933,0.3443778394862856,0.482712552280125
early_natural,early,natural,tabpfn,val,42,ddos,828251,1947064,827220,1119844,1031,0.4248550638294375,0.9987552082641614,0.5961269261327092
early_natural,early,natural,tabpfn,val,42,dos,40691,32208,29765,2443,10926,0.9241492796820666,0.7314885355484013,0.816609281334449
early_natural,early,natural,tabpfn,val,42,injection,76355,69680,67995,1685,8360,0.9758180252583236,0.8905114268875647,0.9312151196630944
early_natural,early,natural,tabpfn,val,42,mitm,1202,29837,389,29448,813,0.0130375037704863,0.3236272878535773,0.0250652405038822
early_natural,early,natural,tabpfn,val,42,password,318955,318782,317980,802,975,0.997484174137812,0.9969431424495618,0.997213584910394
early_natural,early,natural,tabpfn,val,42,ransomware,794,729,417,312,377,0.5720164609053497,0.5251889168765743,0.5476034143138543
early_natural,early,natural,tabpfn,val,42,scanning,271795,371,371,0,271424,1.0,0.0013649993561323,0.0027262773454435
early_natural,early,natural,tabpfn,val,42,xss,566887,1631223,563029,1068194,3858,0.3451575903478556,0.993194410879064,0.5122846445355328
