class_id,class_name,is_tail,alpha,base_prec,base_recall,base_f1,moe_prec,moe_recall,moe_f1,delta_f1
0,benign,False,,0.9996962901177646,0.9993509893562255,0.9995236099146348,0.9997292835919446,0.999315788778936,0.9995224934205315,-1.1164941033925402e-06
1,bot,True,0.1,0.8510028653295129,0.7557251908396947,0.8005390835579514,0.8227513227513228,0.7913486005089059,0.8067444876783398,0.006205404120388391
2,ddos,False,,0.9999218841542007,0.9998047332656409,0.9998633052783691,0.9999218841542007,0.9998047332656409,0.9998633052783691,0.0
3,dos-goldeneye,False,,0.9956268221574344,0.9951432734337057,0.995384989069711,0.9956268221574344,0.9951432734337057,0.995384989069711,0.0
4,dos-hulk,False,,0.9982641902447492,0.9996306355241716,0.9989469455994268,0.9982641902447492,0.9996306355241716,0.9989469455994268,0.0
5,dos-slowhttptest,False,,0.982836495031617,0.9890909090909091,0.9859537834164024,0.982836495031617,0.9890909090909091,0.9859537834164024,0.0
6,dos-slowloris,False,,0.9948096885813149,0.9922346850733391,0.9935205183585313,0.9948096885813149,0.9922346850733391,0.9935205183585313,0.0
7,ftp-patator,False,,1.0,0.9993702770780857,0.9996850393700787,1.0,0.9993702770780857,0.9996850393700787,0.0
8,heartbleed,True,,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,infiltration,True,,1.0,0.5714285714285714,0.7272727272727273,1.0,0.5714285714285714,0.7272727272727273,0.0
10,portscan,False,,0.9949580358261305,0.999528094129491,0.9972378291848457,0.9949580358261305,0.999528094129491,0.9972378291848457,0.0
11,ssh-patator,False,,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,web-attack-�-brute-force,True,0.3,0.7231638418079096,0.8504983388704319,0.7816793893129771,0.8763440860215054,0.5415282392026578,0.6694045174537988,-0.11227487185917828
13,web-attack-�-sql-injection,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,web-attack-�-xss,True,0.9,0.38961038961038963,0.23076923076923078,0.2898550724637681,0.4291497975708502,0.8153846153846154,0.5623342175066313,0.27247914504286314
