Class,Baseline_Accuracy,Baseline_F1,Baseline_Precision,Baseline_Recall,Baseline_Support,Ensemble_Accuracy,Ensemble_F1,Ensemble_Precision,Ensemble_Recall,Ensemble_Support
BENIGN,0.99939242378881,0.9995244427614024,0.9996564966178129,0.99939242378881,454264,0.9977436028388779,0.9988232001463286,0.9999051363169065,0.9977436028388779,454264
Bot,0.7346938775510204,0.8311688311688312,0.9568106312292359,0.7346938775510204,392,0.9923469387755102,0.7291471415182755,0.5762962962962963,0.9923469387755102,392
DDoS,0.9996094512790471,0.9997461086264476,0.9998828033440113,0.9996094512790471,25605,0.9992970123022847,0.9991214197856264,0.9989458889669712,0.9992970123022847,25605
DoS GoldenEye,0.996600291403594,0.9956331877729258,0.9946679592825982,0.996600291403594,2059,0.9980573093734822,0.992513885534895,0.9870317002881844,0.9980573093734822,2059
DoS Hulk,0.9997827267789245,0.9991206262009966,0.9984594019875884,0.9997827267789245,46025,0.9998261814231396,0.994575084291519,0.9893788566145643,0.9998261814231396,46025
DoS Slowhttptest,0.9881818181818182,0.9913360693114455,0.9945105215004575,0.9881818181818182,1100,0.9936363636363637,0.9882459312839059,0.9829136690647482,0.9936363636363637,1100
DoS slowloris,0.993103448275862,0.9956784788245462,0.9982668977469671,0.993103448275862,1160,0.993103448275862,0.9948186528497409,0.9965397923875432,0.993103448275862,1160
FTP-Patator,0.9993698802772527,0.9996848408446265,1.0,0.9993698802772527,1587,0.9993698802772527,0.9996848408446265,1.0,0.9993698802772527,1587
Heartbleed,0.6666666666666666,0.8,1.0,0.6666666666666666,3,1.0,1.0,1.0,1.0,3
Infiltration,0.5,0.6666666666666666,1.0,0.5,8,0.75,0.8571428571428571,1.0,0.75,8
PortScan,0.9996536632977551,0.9968602825745683,0.9940824697078806,0.9996536632977551,31761,0.9994647523692579,0.9967188407617313,0.9939879759519038,0.9994647523692579,31761
SSH-Patator,1.0,1.0,1.0,1.0,1180,1.0,0.9995764506565015,0.9991532599491956,1.0,1180
Web Attack � Brute Force,0.9801324503311258,0.8222222222222222,0.7081339712918661,0.9801324503311258,302,0.8443708609271523,0.799373040752351,0.7589285714285714,0.8443708609271523,302
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,5,0.2,0.25,0.3333333333333333,0.2,5
Web Attack � XSS,0.04580152671755725,0.08333333333333333,0.46153846153846156,0.04580152671755725,131,0.35877862595419846,0.40869565217391307,0.47474747474747475,0.35877862595419846,131
