Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
BENIGN,0.9954987800637624,0.9350330970228182,0.724772701597581,0.8195477058885499,0.9990859647913051,0.999249429368222
Bot,0.0,0.0,0.0,0.0,0.680379746835443,0.8029878618113913
DDoS,0.7509282097883941,0.796924942136008,0.8281968064390497,0.8229512003199133,0.9987018044917565,0.999311536313212
DoS GoldenEye,0.6775884665792923,0.7906709998088319,0.0,0.0,0.9908256880733946,0.9944097336402499
DoS Hulk,0.5606945655332752,0.7034299204273045,0.6231182795698925,0.7561272348979088,0.9995495495495496,0.9973178299069214
DoS Slowhttptest,0.5222623345367028,0.6267148014440433,0.0,0.0,0.98676293622142,0.9897404948702474
DoS slowloris,0.18289920724801811,0.30243445692883897,0.0,0.0,0.9875424688561721,0.9928835752917734
FTP-Patator,0.0,0.0,0.0,0.0,0.9991485738612176,0.9995741056218058
Heartbleed,0.0,0.0,0.0,0.0,1.0,1.0
Infiltration,0.0,0.0,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.9972488817019132,0.3292882503051148,0.9995799819392234,0.9968271254594385
SSH-Patator,0.0,0.0,0.0,0.0,0.9964726631393298,0.9982332155477032
Web Attack � Brute Force,0.0,0.0,0.0,0.0,0.9324618736383442,0.8160152526215443
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0,0.06285714285714286,0.1164021164021164
