model,macro_f1,accuracy,rows,job,dataset,seed
global_raw,0.782879636521623,0.9939552462749874,3042473,cic2018_s43,cic2018,43
global_calibrated,0.782879636521623,0.9939552462749874,3042473,cic2018_s43,cic2018,43
designed_e1_raw,0.7775824794717119,0.9958964303052156,3042473,cic2018_s43,cic2018,43
designed_e1_calibrated,0.7775824794717119,0.9958964303052156,3042473,cic2018_s43,cic2018,43
designed_e2_raw,0.7074501163320113,0.8133268561462994,3042473,cic2018_s43,cic2018,43
designed_e2_calibrated,0.7074501163320113,0.8133268561462994,3042473,cic2018_s43,cic2018,43
designed_e3_raw,0.6989435589444151,0.714463530161155,3042473,cic2018_s43,cic2018,43
designed_e3_calibrated,0.6989435589444151,0.714463530161155,3042473,cic2018_s43,cic2018,43
designed_e4_raw,0.7046600619996478,0.7957490501969944,3042473,cic2018_s43,cic2018,43
designed_e4_calibrated,0.7046600619996478,0.7957490501969944,3042473,cic2018_s43,cic2018,43
designed_fixed_region,0.7461500013352235,0.9580555028754568,3042473,cic2018_s43,cic2018,43
designed_validation_region_reference,0.7828682734120184,0.993953274195038,3042473,cic2018_s43,cic2018,43
designed_region_constant,0.4193166976586117,0.898108545252497,3042473,cic2018_s43,cic2018,43
matched_random_e1_raw,0.780566188993831,0.9959519772237913,3042473,cic2018_s43,cic2018,43
matched_random_e1_calibrated,0.780566188993831,0.9959519772237913,3042473,cic2018_s43,cic2018,43
matched_random_e2_raw,0.7080792520407461,0.8160256475571024,3042473,cic2018_s43,cic2018,43
matched_random_e2_calibrated,0.7080792520407461,0.8160256475571024,3042473,cic2018_s43,cic2018,43
matched_random_e3_raw,0.6959158239996858,0.7271890333948732,3042473,cic2018_s43,cic2018,43
matched_random_e3_calibrated,0.6959158239996858,0.7271890333948732,3042473,cic2018_s43,cic2018,43
matched_random_e4_raw,0.7053218546443245,0.7970871064426865,3042473,cic2018_s43,cic2018,43
matched_random_e4_calibrated,0.7053218546443245,0.7970871064426865,3042473,cic2018_s43,cic2018,43
matched_random_fixed_region,0.7490348362435327,0.9580098163566284,3042473,cic2018_s43,cic2018,43
matched_random_validation_region_reference,0.7828833074942905,0.9939559036349708,3042473,cic2018_s43,cic2018,43
matched_random_region_constant,0.4193166976586117,0.898108545252497,3042473,cic2018_s43,cic2018,43
balanced_random_e1_raw,0.7618495241981129,0.9659927959919448,3042473,cic2018_s43,cic2018,43
