expert,class_id,threshold,score_scale,local_prior
DoS_DDoS,2,4.190701961517334,0.4528040885925293,0.3371444344520569
DoS_DDoS,3,4.190701961517334,0.4528040885925293,0.027106383815407753
DoS_DDoS,4,4.190701961517334,0.4528040885925293,0.6060050129890442
DoS_DDoS,5,4.190701961517334,0.4528040885925293,0.014479268342256546
DoS_DDoS,6,4.190701961517334,0.4528040885925293,0.015264897607266903
Scan_Brute,7,5.938488483428955,0.2229529470205307,0.04594873636960983
Scan_Brute,10,5.938488483428955,0.2229529470205307,0.9199201464653015
Scan_Brute,11,5.938488483428955,0.2229529470205307,0.03413114324212074
WebBot_Main,1,1.146280288696289,1.6737103462219238,0.4765561819076538
WebBot_Main,12,1.146280288696289,1.6737103462219238,0.36540016531944275
WebBot_Main,14,1.146280288696289,1.6737103462219238,0.15804365277290344
Rare_Micro,8,2.048311948776245,0.10888050496578217,0.1666666716337204
Rare_Micro,9,2.048311948776245,0.10888050496578217,0.523809552192688
Rare_Micro,13,2.048311948776245,0.10888050496578217,0.3095238208770752
