expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
flood,pretrained,ddos,"ddos,dos",non_owned_known_attack,100000,100323,-4.333893299102783,0.6156987590582419,0.5464023572852634,0.7550312490655183,0.54775,0.5719824965361882
flood,pretrained,ddos,"ddos,dos",unseen,100000,100000,-4.333893299102783,0.30035588595,0.4086844465560495,0.99811,0.54775,0.09634
flood,pretrained,ddos,"ddos,dos",target_non_owned_validation,100000,50323,-4.333893299102783,0.673216901317489,0.767329820054703,0.5683087256324146,0.54775,0.5495499075969239
flood,pretrained,ddos,"ddos,dos",benign_diagnostic,100000,51989,-4.333893299102783,0.631501367212295,0.6537381062036527,0.44595972224893726,0.54775,0.627555829117698
flood,pretrained,ddos,"ddos,dos",pooled_attack_out,100000,200323,-4.333893299102783,0.4582815512946591,0.2995558712787684,0.8763746549322844,0.54775,0.334544710292877
flood,pretrained,ddos,"ddos,dos",unseen::dos,100000,100000,-4.333893299102783,0.30035588595,0.4086844465560495,0.99811,0.54775,0.09634
flood,energy_finetuned,ddos,"ddos,dos",non_owned_known_attack,100000,100323,-6.614262580871582,0.9952755057165357,0.9968131582950349,0.0,0.78695,1.0
flood,energy_finetuned,ddos,"ddos,dos",unseen,100000,100000,-6.614262580871582,0.5394941197,0.5045954853559621,0.92788,0.78695,0.32855
flood,energy_finetuned,ddos,"ddos,dos",target_non_owned_validation,100000,50323,-6.614262580871582,0.9947689360729687,0.9980169175133922,0.0,0.78695,1.0
flood,energy_finetuned,ddos,"ddos,dos",benign_diagnostic,100000,51989,-6.614262580871582,0.9942835671007328,0.9978030649197112,0.00019234838138837063,0.78695,1.0
flood,energy_finetuned,ddos,"ddos,dos",pooled_attack_out,100000,200323,-6.614262580871582,0.7677522627456658,0.5036336061461268,0.4631919450088108,0.78695,0.6648163216405505
flood,energy_finetuned,ddos,"ddos,dos",unseen::dos,100000,100000,-6.614262580871582,0.5394941197,0.5045954853559621,0.92788,0.78695,0.32855
recon,pretrained,reconnaissance,reconnaissance,non_owned_known_attack,100000,100323,-4.284097194671631,0.7309313722177366,0.8191711846987763,0.9959829749907798,0.96306,0.004017025009220219
recon,pretrained,reconnaissance,reconnaissance,unseen,100000,100000,-4.284097194671631,0.7021064078000001,0.7472599810535415,0.99861,0.96306,0.00139
recon,pretrained,reconnaissance,reconnaissance,target_non_owned_validation,100000,50323,-4.284097194671631,0.6891994663473957,0.8562358439910078,0.9940385112175347,0.96306,0.005961488782465274
recon,pretrained,reconnaissance,reconnaissance,benign_diagnostic,100000,51989,-4.284097194671631,0.5028318368308681,0.6181668481548963,0.9229644732539576,0.96306,0.07703552674604243
recon,pretrained,reconnaissance,reconnaissance,pooled_attack_out,100000,200323,-4.284097194671631,0.7165421286372509,0.6682765419255604,0.9972943695931071,0.96306,0.002705630406892868
recon,pretrained,reconnaissance,reconnaissance,unseen::dos,100000,100000,-4.284097194671631,0.7021064078000001,0.7472599810535415,0.99861,0.96306,0.00139
recon,energy_finetuned,reconnaissance,reconnaissance,non_owned_known_attack,100000,100323,-6.300649166107178,0.9986382007615403,0.9985679122491415,0.009030830417750666,0.83058,0.9997308692921862
recon,energy_finetuned,reconnaissance,reconnaissance,unseen,100000,100000,-6.300649166107178,0.9923402593,0.9909010540571812,0.02571,0.83058,0.98294
recon,energy_finetuned,reconnaissance,reconnaissance,target_non_owned_validation,100000,50323,-6.300649166107178,0.9999931003715995,0.9999964309338198,1.987162927488425e-05,0.83058,1.0
recon,energy_finetuned,reconnaissance,reconnaissance,benign_diagnostic,100000,51989,-6.300649166107178,0.6975286040316221,0.7971591419829794,0.8399661466848757,0.83058,0.34111061955413646
recon,energy_finetuned,reconnaissance,reconnaissance,pooled_attack_out,100000,200323,-6.300649166107178,0.9954943074185191,0.9895462250859166,0.017356968495879154,0.83058,0.991348971411171
recon,energy_finetuned,reconnaissance,reconnaissance,unseen::dos,100000,100000,-6.300649166107178,0.9923402593,0.9909010540571812,0.02571,0.83058,0.98294
theft,pretrained,theft,theft,non_owned_known_attack,323,200000,-0.7411848306655884,0.11036216718266255,0.003555386692342552,0.993115,0.9287925696594427,0.00702
theft,pretrained,theft,theft,unseen,323,100000,-0.7411848306655884,0.16703470588235297,0.02884463533624536,0.99893,0.9287925696594427,0.00109
theft,pretrained,theft,theft,target_non_owned_validation,323,100000,-0.7411848306655884,0.11589585139318889,0.011457331261289708,0.99275,0.9287925696594427,0.00736
theft,pretrained,theft,theft,benign_diagnostic,323,51989,-0.7411848306655884,0.20842814034190488,0.007737462290737081,0.8620477408682606,0.9287925696594427,0.13824078170382195
theft,pretrained,theft,theft,pooled_attack_out,323,300000,-0.7411848306655884,0.12925301341589265,0.002711285317004133,0.9950533333333333,0.9287925696594427,0.005043333333333334
theft,pretrained,theft,theft,unseen::dos,323,100000,-0.7411848306655884,0.16703470588235297,0.02884463533624536,0.99893,0.9287925696594427,0.00109
theft,energy_finetuned,theft,theft,non_owned_known_attack,323,200000,-1.0517836809158325,0.9824446130030959,0.7787745050117975,0.065185,0.8699690402476781,0.935315
theft,energy_finetuned,theft,theft,unseen,323,100000,-1.0517836809158325,0.9876567182662539,0.9454777242768055,0.00132,0.8699690402476781,0.99898
theft,energy_finetuned,theft,theft,target_non_owned_validation,323,100000,-1.0517836809158325,0.9895944582043346,0.7956272207293617,0.01308,0.8699690402476781,0.98728
theft,energy_finetuned,theft,theft,benign_diagnostic,323,51989,-1.0517836809158325,0.9882366756911605,0.8339503481522568,0.04264363615380177,0.8699690402476781,0.958798976706611
theft,energy_finetuned,theft,theft,pooled_attack_out,323,300000,-1.0517836809158325,0.9841819814241486,0.7778332738330211,0.04389666666666667,0.8699690402476781,0.9565366666666667
theft,energy_finetuned,theft,theft,unseen::dos,323,100000,-1.0517836809158325,0.9876567182662539,0.9454777242768055,0.00132,0.8699690402476781,0.99898
